Hannah Abbott
Bathsheda Babbling
Ludo Bagman
Bathilda Bagshot
Katie Bell
Cuthbert Binns
Phineas Nigellus Black
Regulus Black
Sirius Black
Amelia Bones
Susan Bones
Terry Boot
Lavender Brown
Millicent Bulstrode
Frank Bryce
Charity Burbage
Alecto Carrow
Amycus Carrow
Reginald Cattermole
Mary Cattermole
Cho Chang
Penelope Clearwater
Michael Corner
Crabbe
Vincent Crabbe
Colin Creevey
Dennis Creevey
Dirk Cresswell
Bartemius Crouch Sr.
Bartemius Crouch Jr.
John Dawlish
Fleur Delacour
Gabrielle Delacour
Dedalus Diggle
Amos Diggory
Cedric Diggory
Elphias Doge
Antonin Dolohov
Aberforth Dumbledore
Albus Dumbledore
Ariana Dumbledore
Dudley Dursley
Marjorie Dursley
Petunia Dursley
Vernon Dursley
Marietta Edgecombe
Everard
Arabella Figg
Argus Filch
Justin Finch-Fletchley
Seamus Finnigan
Marcus Flint
Nicolas Flamel
Mundungus Fletcher
Filius Flitwick
Cornelius Fudge
Marvolo Gaunt
Merope Gaunt
Morfin Gaunt
Anthony Goldstein
Goyle Sr.
Gregory Goyle
Hermione Granger
Mykew Gregorovitch
Fenrir Greyback
Gellert Grindelwald
Wilhelmina Grubbly-Plank
Godric Gryffindor
Rubeus Hagrid
Rolanda Hooch
Mafalda Hopkirk
Helga Hufflepuff
Angelina Johnson
Lee Jordan
Bertha Jorkins
Igor Karkaroff
Viktor Krum
Bellatrix Lestrange
Rabastan Lestrange
Rodolphus Lestrange
Gilderoy Lockhart
Alice Longbottom
Frank Longbottom
Augusta Longbottom
Neville Longbottom
Luna Lovegood
Xenophilius Lovegood
Remus Lupin
Walden Macnair
Draco Malfoy
Lucius Malfoy
Narcissa Malfoy
Madam Malkin
Olympe Maxime
Ernest Macmillan
Minerva McGonagall
Alastor Moody
Theodore Nott
Garrick Ollivander
Pansy Parkinson
Padma Patil
Parvati Patil
Peter Pettigrew
Antioch Peverell
Cadmus Peverell
Ignotus Peverell
Irma Pince
Sturgis Podmore
Poppy Pomfrey
Harry Potter
James Potter I
Lily J. Potter
Ernest Prang
Quirinus Quirrell
Helena Ravenclaw
Rowena Ravenclaw
Mary Riddle
Thomas Riddle
Tom Riddle Sr
Tom Riddle
Demelza Robins
Augustus Rockwood
Albert Runcorn
Scabior
Newton Scamander
Rufus Scrimgeour
Kingsley Shacklebolt
Stanley Shunpike
Aurora Sinistra
Rita Skeeter
Horace Slughorn
Salazar Slytherin
Hepzibah Smith
Zacharias Smith
Severus Snape
Alicia Spinnet
Pomona Sprout
Pius Thicknesse
Dean Thomas
Andromeda Tonks
Nymphadora Tonks
Edward Tonks
Travers
Sybill Trelawney
Dolores Umbridge
Emmeline Vance
Romilda Vane
Septima Vector
Arthur Weasley
William Weasley
Charles Weasley
Fred Weasley
George Weasley
Ginevra Weasley
Molly Weasley
Percy Weasley
Ronald Weasley
Oliver Wood
Kennilworthy Whisp
Corban Yaxley
Blaise Zabini
Aragog
Bane
Beedle the Bard
Bloody Baron
Buckbeak
Cadogan
Crookshanks
Dobby
Errol
Fang
Fat Friar
Fridfwulfa
Fat Lady
Fawkes
Firenze
Fluffy
Grawp
Griphook
Hedwig
Hokey
Kreacher
Magorian
Myrtle Warren
Mrs. Norris
Great Aunt Muriel
Nagini
Nicholas de Mimsy-Porpington
Norbert
Peeves
Pigwidgeon
Madam Rosmerta
Ronan
Trevor
Winky
